team,city,state,latitude,longitude,stadium,founded,joined,head_coach,url,wikipedia_url,logo_url
Angel City FC,Los Angeles,California,34.013,-118.285,BMO Stadium,2020,2022,Becki Tweed,https://angelcity.com/,https://en.wikipedia.org/wiki/Angel_City_FC,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Angel_City_FC_logo.svg/170px-Angel_City_FC_logo.svg.png
Bay FC,San Jose,California,37.35138889,-121.925,PayPal Park,2023,2024,Albertin Montoya,https://bayfc.com/,https://en.wikipedia.org/wiki/Bay_FC,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Bay_FC_logo.svg/220px-Bay_FC_logo.svg.png
Chicago Red Stars,Bridgeview,Illinois,41.76472222,-87.80611111,SeatGeek Stadium,2006,2013,Lorne Donaldson,https://www.chicagoredstars.com/,https://en.wikipedia.org/wiki/Chicago_Red_Stars,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Chicago_Red_Stars_logo.svg/180px-Chicago_Red_Stars_logo.svg.png
Houston Dash,Houston,Texas,29.7522,-95.3524,Shell Energy Stadium,2013,2014,Ricky Clarke,https://www.houstondynamofc.com/houstondash,https://en.wikipedia.org/wiki/Houston_Dash,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Houston_Dash_2020_logo.svg/180px-Houston_Dash_2020_logo.svg.png
Kansas City Current,Kansas City,Missouri,39.12033333,-94.56625,CPKC Stadium,2020,2021,Vlatko Andonovski,https://www.kansascitycurrent.com/,https://en.wikipedia.org/wiki/Kansas_City_Current,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Kansas_City_Current_logo.svg/170px-Kansas_City_Current_logo.svg.png
NJ/NY Gotham FC,Harrison,New Jersey,40.73666667,-74.15027778,Red Bull Arena,2007,2013,Juan Carlos Amorós,https://www.gothamfc.com/,https://en.wikipedia.org/wiki/NJ/NY_Gotham_FC,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/NJ_NY_Gotham_FC_logo.svg/170px-NJ_NY_Gotham_FC_logo.svg.png
North Carolina Courage,Cary,North Carolina,35.78616389,-78.75510556,WakeMed Soccer Park,2017,2017,Sean Nahas,https://www.nccourage.com/,https://en.wikipedia.org/wiki/North_Carolina_Courage,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/North_Carolina_Courage_logo.svg/180px-North_Carolina_Courage_logo.svg.png
Orlando Pride,Orlando,Florida,28.5411,-81.3893,Inter&Co Stadium,2015,2016,Seb Hines,https://www.orlandocitysc.com/pride/,https://en.wikipedia.org/wiki/Orlando_Pride,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Orlando_Pride_logo.svg/195px-Orlando_Pride_logo.svg.png
Portland Thorns FC,Portland,Oregon,45.52138889,-122.69166667,Providence Park,2012,2013,Rob Gale,https://www.timbers.com/thornsfc/,https://en.wikipedia.org/wiki/Portland_Thorns_FC,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Portland_Thorns_logo.svg/190px-Portland_Thorns_logo.svg.png
Racing Louisville FC,Louisville,Kentucky,38.25944444,-85.73194444,Lynn Family Stadium,2019,2021,Bev Yanez,https://www.racingloufc.com/,https://en.wikipedia.org/wiki/Racing_Louisville_FC,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Racing_Louisville_FC_logo.svg/190px-Racing_Louisville_FC_logo.svg.png
San Diego Wave FC,San Diego,California,32.78444444,-117.12283333,Snapdragon Stadium,2021,2022,Landon Donovan,https://sandiegowavefc.com/,https://en.wikipedia.org/wiki/San_Diego_Wave_FC,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/San_Diego_Wave_FC_logo.svg/180px-San_Diego_Wave_FC_logo.svg.png
Seattle Reign FC,Seattle,Washington,47.5952,-122.3316,Lumen Field,2012,2013,Laura Harvey,https://www.olreign.com/,https://en.wikipedia.org/wiki/Seattle_Reign_FC,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Seattle_Reign_FC_logo_2024.png/150px-Seattle_Reign_FC_logo_2024.png
Utah Royals,Sandy,Utah,40.5829,-111.8934,America First Field,2017,2024[f],Jimmy Coenraets,https://www.rsl.com/utahroyals,https://en.wikipedia.org/wiki/Utah_Royals,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Utah_Royals_FC_2023_logo.png/220px-Utah_Royals_FC_2023_logo.png
Washington Spirit,Washington,D.C.,38.868411,-77.012869,Audi Field,2012,2013,Jonatan Giráldez,https://washingtonspirit.com/,https://en.wikipedia.org/wiki/Washington_Spirit,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Washington_Spirit_logo.svg/240px-Washington_Spirit_logo.svg.png
