team,city,state,latitude,longitude,stadium,stadium_capacity,year_founded,year_joined,head_coach,mls_affiliate,url,wikipedia_url,logo_url
Atlanta United 2,Kennesaw,Georgia,34.028967,-84.567626,Fifth Third Bank Stadium,8318,2017,2018,Jack Collison,Atlanta United FC,https://www.atlutd.com/2,https://en.wikipedia.org/wiki/Atlanta_United_2,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Atlanta_United_2_crest.svg/180px-Atlanta_United_2_crest.svg.png
Birmingham Legion FC,Birmingham,Alabama,33.5278,-86.8092,Protective Stadium,47100,2017,2019,Tom Soehn,,http://www.bhmlegion.com/,https://en.wikipedia.org/wiki/Birmingham_Legion_FC,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Birmingham_Legion_FC_logo.svg/140px-Birmingham_Legion_FC_logo.svg.png
Charleston Battery,Mount Pleasant,South Carolina,32.795143,-79.902983,Patriots Point Soccer Complex,3900,1993,2011,Conor Casey,,https://www.charlestonbattery.com/,https://en.wikipedia.org/wiki/Charleston_Battery,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Charleston_Battery_%282020%29_logo.svg/180px-Charleston_Battery_%282020%29_logo.svg.png
Colorado Springs Switchbacks FC,Colorado Springs,Colorado,38.826363,-104.828191,Weidner Field,8000,2013,2015,Brendan Burke,,https://switchbacksfc.com/,https://en.wikipedia.org/wiki/Colorado_Springs_Switchbacks_FC,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Colorado_Springs_Switchbacks_FC_%282020%29_logo.svg/180px-Colorado_Springs_Switchbacks_FC_%282020%29_logo.svg.png
Detroit City FC,Hamtramck,Michigan,42.39222222,-83.04888889,Keyworth Stadium,7933,2012,2022,,,http://www.detcityfc.com/,https://en.wikipedia.org/wiki/Detroit_City_FC,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Detroit_City_FC_logo.svg/240px-Detroit_City_FC_logo.svg.png
El Paso Locomotive FC,El Paso,Texas,31.759,-106.493,Southwest University Park,9500,2018,2019,John Hutchinson,,https://www.eplocomotivefc.com/,https://en.wikipedia.org/wiki/El_Paso_Locomotive_FC,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/El_Paso_Locomotive_FC_logo.svg/190px-El_Paso_Locomotive_FC_logo.svg.png
FC Tulsa,Tulsa,Oklahoma,36.15972222,-95.98805556,Oneok Field,7833,2013,2015,Michael Nsien,,https://www.fctulsa.com/,https://en.wikipedia.org/wiki/FC_Tulsa,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/FC_Tulsa_logo.svg/180px-FC_Tulsa_logo.svg.png
Hartford Athletic,Hartford,Connecticut,41.7538,-72.6611,Dillon Stadium,5500,2018,2019,Harry Watling,,https://www.hartfordathletic.com/,https://en.wikipedia.org/wiki/Hartford_Athletic,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Hartford_Athletic_logo.svg/180px-Hartford_Athletic_logo.svg.png
Indy Eleven,Indianapolis,Indiana,39.771146,-86.17788,Carroll Stadium,10524,2013,2018,Mark Lowry,,https://www.indyeleven.com/,https://en.wikipedia.org/wiki/Indy_Eleven,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Wiki_letter_w.svg/40px-Wiki_letter_w.svg.png
LA Galaxy II,Carson,California,33.864,-118.261,Dignity Health Track Stadium,10000,2014,2014,Yoann Damet,LA Galaxy,https://www.lagalaxy.com/2/,https://en.wikipedia.org/wiki/LA_Galaxy_II,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/LA_Galaxy_II_logo.svg/170px-LA_Galaxy_II_logo.svg.png
Las Vegas Lights FC,Las Vegas,Nevada,36.17966667,-115.12997222,Cashman Field,9334,2017,2018,,Los Angeles FC,http://www.lasvegaslightsfc.com/,https://en.wikipedia.org/wiki/Las_Vegas_Lights_FC,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Las_Vegas_Lights_FC_logo.svg/130px-Las_Vegas_Lights_FC_logo.svg.png
Loudoun United FC,Leesburg,Virginia,39.070746,-77.545434,Segra Field,5000,2018,2019,Ryan Martin,D.C. United,https://www.loudoununitedfc.com/,https://en.wikipedia.org/wiki/Loudoun_United_FC,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Loudoun_United_FC_logo.svg/150px-Loudoun_United_FC_logo.svg.png
Louisville City FC,Louisville,Kentucky,38.25944444,-85.73194444,Lynn Family Stadium,11700,2014,2015,Danny Cruz,,https://www.loucity.com/,https://en.wikipedia.org/wiki/Louisville_City_FC,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Louisville_City_FC_%282020%29_logo.svg/160px-Louisville_City_FC_%282020%29_logo.svg.png
Memphis 901 FC,Memphis,Tennessee,35.14305556,-90.04916667,AutoZone Park,10000,2018,2019,Ben Pirmann,,https://www.memphis901fc.com/,https://en.wikipedia.org/wiki/Memphis_901_FC,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png
